"Hora","Lunes","Martes","Miercoles","Jueves","Viernes",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09:00-09:30","[EnxSoft]","[EnxSoft]","[IA]","[ASR]",,,"grupo:",,,,,,,,,,,,,,,,,,,,,,,,,
"09:30-10:00",,,,,,,"/4","2",,,,,,,,,,,,,,,,,,,,,,,,
"10:00-10:30","[ComDis]","[TALF]","[IA]","[TALF]","= if(I2==1,'IA',if(I2==2,'TALF',if(I2==4,'EnxSoft')))",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10:30-11:00",,,,,"= if(I2==3,'ASR-b')",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11:00-11:30","[IA]",,"[ComDist]","[TALF]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11:30-12:00",,,,,,,"Sheetcolors",,,,,,,,,,,,,,,,,,,,,,,,,
"12:00-12:30",,"= if(I2==2,'IA',if(I2==3,'ASR-a',if(I2==4,'ComDist')))",,,,,"= color('34;1;7',A0:F0)",,,,,,,,,,,,,,,,,,,,,,,,,
"12:30-01:00",,,"= if(I2==2,'ASR-a')",,"= if(I2==1,'ASR-a',if(I2==2,'ComDis',if(I2==3,'EnxSoft')))",,"= color('34;7',A1:A23)",,,,,,,,,,,,,,,,,,,,,,,,,
"01:00-01:30","= if(I2==1,'ComDis',if(I2==2,'EnxSoft',if(I2==3,'TALF',if(I2==4,'ASR-a'))))","= if(I2==1,'EnxSoft')","= if(I2==3,'ComDist',if(I2==4,'TALF'))",,,,"= colorb('40',B1:F23)",,,,,,,,,,,,,,,,,,,,,,,,,
"01:30-02:00",,,,,,,"= color('35;7',H2:I2,H1)",,,,,,,,,,,,,,,,,,,,,,,,,
"02:00-02:30",,,,,,,"= color('49;35;7',H6:H16)",,,,,,,,,,,,,,,,,,,,,,,,,
"02:30-03:00",,,,,,,"= color('96;7',B3,B4,D5,D6)",,,,,,,,,,,,,,,,,,,,,,,,,
"03:00-03:30",,,,,,,"= color('93;7',B1,B2,C1,C2)",,,,,,,,,,,,,,,,,,,,,,,,,
"03:30-04:00",,,,,,,"= color('92;7',B5,B6,D1:D4)",,,,,,,,,,,,,,,,,,,,,,,,,
"04:00-04:30",,"= if(I2==1,'TALF')",,,,,"= color('91;7',C3,C4,E3:E6)",,,,,,,,,,,,,,,,,,,,,,,,,
"04:30-05:00",,,,"= if(I2==4,'ASR-b')",,,"= color('94;7',E1,E2)",,,,,,,,,,,,,,,,,,,,,,,,,
"05:00-05:30",,"= if(I2==3,'IA')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"05:30-06:00",,,"= if(I2==4,'IA')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06:00-06:30",,"= if(I2==1,'ASR-b')",,"= if(I2==2,'ASR-b')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06:30-07:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07:00-07:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07:30-08:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"08:00-08:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sheetcolors","Grupo/Asignatura","ComDis","TALF","ASR","EnxSoft","IA",,,,,,,,,,,,,,,,,,,,,,,,,,
,"1","= if(I2==B26,color('49;36;7',B7:B11))","= if(I2==B26,color('49;31;7',C14:C17))","= if(I2==B26,color('49;34;7',C18:C21,F7:F10))","= if(I2==B26,color('49;33;7',C7:C11))","= if(I2==B26,color('49;32;7',F1:F6))",,,,,,,,,,,,,,,,,,,,,,,,,,
,"2","= if(I2==B27,color('49;36;7',F6:F10))","= if(I2==B27,color('49;31;7',F2:F5))","= if(I2==B27,color('49;34;7',D7:D10,E18:E21))","= if(I2==B27,color('49;33;7',B7:B11))","= if(I2==B27,color('49;32;7',C5:C10))",,,,,,,,,,,,,,,,,,,,,,,,,,
,"3","= if(I2==B28,color('49;36;7',D7:D11))","= if(I2==B28,color('49;31;7',B7:B10))","= if(I2==B28,color('49;34;7',C5:C8,F2:F5))","= if(I2==B28,color('49;33;7',F6:F10))","= if(I2==B28,color('49;32;7',C14:C19))",,,,,,,,,,,,,,,,,,,,,,,,,,
,"4","= if(I2==B29,color('49;36;7',C5:C9))","= if(I2==B29,color('49;31;7',D7:D10))","= if(I2==B29,color('49;34;7',B7:B10,E14:E17))","= if(I2==B29,color('49;33;7',F1:F5))","= if(I2==B29,color('49;32;7',D15:D21))",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
